DATAFLOW,FREQ,ETA,ITTER107,SESSO,STACIVX,TIPO_INDDEM,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:22_289(1.5),A,TOTAL,001035,9,99,JAN,2020,4593,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001035,9,99,JAN,2021,4564,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001036,9,99,JAN,2019,393,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001036,9,99,JAN,2020,401,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001036,9,99,JAN,2021,402,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001037,9,99,JAN,2019,433,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001037,9,99,JAN,2020,440,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001037,9,99,JAN,2021,449,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001038,9,99,JAN,2019,8648,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001038,9,99,JAN,2020,8578,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001038,9,99,JAN,2021,8475,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001039,9,99,JAN,2019,1503,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001039,9,99,JAN,2020,1482,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001039,9,99,JAN,2021,1482,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001040,9,99,JAN,2019,1526,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001040,9,99,JAN,2020,1510,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001040,9,99,JAN,2021,1487,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001041,9,99,JAN,2019,1345,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001041,9,99,JAN,2020,1355,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001041,9,99,JAN,2021,1329,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001042,9,99,JAN,2019,1139,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001042,9,99,JAN,2020,1126,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001042,9,99,JAN,2021,1134,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001043,9,99,JAN,2019,1621,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001043,9,99,JAN,2020,1623,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001043,9,99,JAN,2021,1622,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001044,9,99,JAN,2019,5922,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001044,9,99,JAN,2020,5806,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001044,9,99,JAN,2021,5703,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001045,9,99,JAN,2019,6417,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001045,9,99,JAN,2020,6346,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001045,9,99,JAN,2021,6292,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001046,9,99,JAN,2019,3391,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001046,9,99,JAN,2020,3358,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001046,9,99,JAN,2021,3334,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001047,9,99,JAN,2019,7473,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001047,9,99,JAN,2020,7411,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001047,9,99,JAN,2021,7344,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001048,9,99,JAN,2019,5992,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001048,9,99,JAN,2020,6011,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001048,9,99,JAN,2021,5915,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001049,9,99,JAN,2019,1334,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001049,9,99,JAN,2020,1339,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001049,9,99,JAN,2021,1333,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001050,9,99,JAN,2019,1196,,,,,,,,,
